,0,1,id,year,place,printer,initial
220,45.79475,-31.211952,1828,1516,Paris,"Estienne I., Henri","1828_etaples_sphaera_1516_p8,150,206,155,155.jpg"
221,47.615765,-37.58855,2092,1514,Milan,"Ponte, Gottardo da","2092_mazzolini_commentaria_1514_p68,143,752,120,131.jpg"
222,8.059268,37.091564,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p151,545,3248,456,405.jpg"
223,-53.859398,0.11648296,1923,1482,Venice,"Ratdolt, Erhard","1923_sacrobosco_astronomica_1482_p70,101,803,311,361.jpg"
224,29.512808,-15.648628,2243,1593,Frankfurt (Main),"Wechel, Johann","2243_scribonius_isagoge_1593_p8,41,391,168,164.jpg"
225,30.47591,60.09441,1659,1518,Venice,Company Heirs of Ottaviano Scoto I.,"1659_sacrobosco_sphera_1518_p340,2253,1351,442,453.jpg"
226,-39.24129,12.606209,1755,1607,Saint Gervais,"Crispin, Samuel","1755_clavius_commentarius_1607_p9,295,1018,451,419.jpg"
227,-28.592783,-63.881195,1697,1548,Seville,"León, Juan de","1697_sacrobosco_tractado_1548_p231,382,2420,429,462.jpg"
228,22.910503,-29.041813,2104,1556,Frankfurt (Main),"Braubach, Peter","2104_beyer_quaestiones_1556_p266,438,501,188,176.jpg"
229,-11.503681,24.715387,2190,1583,Lyon,"Béraud, Symphorien","2190_giuntini_speculum_1583_p559,573,3400,545,583.jpg"
230,-21.230549,45.08775,2281,1582,Antwerp,"Bellère, Jean","2281_giuntini_emendata_1582_p179,76,939,272,302.jpg"
231,-41.10626,-34.83814,1936,1579,Florence,"Giunta, Jacopo","1936_rinaldi_sfera_1579_p75,423,1801,942,950.jpg"
232,-38.233665,-13.2117,1842,1535,Salamanca,"Castañeda, Rodrigo de","1842_espinosa_philosophia_1535_p65,2689,1724,271,276.jpg"
233,-12.015663,80.20444,1929,1518,Venice,"Giunta, Lucantonio","1929_regiomontanus_sphera_1518_p18,606,5580,582,558.jpg"
234,7.818358,-72.91014,1697,1548,Seville,"León, Juan de","1697_sacrobosco_tractado_1548_p38,37,1198,378,389.jpg"
235,3.6919827,-27.554947,1832,1531,Paris,"Colines, Simon de","1832_detaples_textus_1531_p7,2453,2282,227,230.jpg"
236,15.451765,-24.292543,2148,1560,Frankfurt (Main),"Braubach, Peter","2148_beyer_quaestiones_1560_p320,50,535,233,228.jpg"
237,56.127087,-19.384865,1970,1577,Paris,Company Jérôme de Marnef & Widow of Guillaume Cavellat (Denise de Marnef),"1970_sacrobosco_sphaera_1577_p55,207,473,133,149.jpg"
238,-1.1375738,-10.765817,1967,1606,Lyon,"Gazeau, Hugues","1967_sacrobosco_sphaera_1606_p38,763,3078,444,403.jpg"
239,-23.203901,-2.9977431,2250,1532,Paris,"Morrhy, Gérard","2250_fine_protomathesis_1532_p30,776,2538,674,660.jpg"
240,-20.025951,22.388727,1816,1607,Lyon,Jacques du Creux a.k.a. Molliard,"1816_clavius_sphaeram_1607_p441,665,497,557,549.jpg"
241,25.772808,-7.944893,1777,1585,Venice,"Percacino, Grazioso","1777_barozzi_cosmographia_1585_p376,318,882,184,171.jpg"
